Acrocephalus cinnamomeus	Cinnamon reed-warbler
Acrocephalus gracilirostris	Lesser swamp-warbler
Acrocephalus palustris	Marsh warbler
Acrocephalus percernis	Northern Marquesan reed-warbler
Acrocephalus schoenobaenus	Sedge warbler
Acroceridae	Small-headed flies
Acrocheilus alutaceus	Chiselmouth
Acrocinus longimanus	Giant harlequin beetle
Acrodipsas	Ant blues
Acrodipsas arcana	Arcana ant blue
Acrodipsas aurata	Golden ant blue
Acrodipsas brisbanensis	Large ant blue
Acrodipsas cuprea	Cuprea ant blue
Acrodipsas hirtipes	Hirtipes ant blue
Acrodipsas illidgei	Illidge's ant blue
Acrodipsas melania	Black ant blue
Acrodipsas myrmecophila	Small ant blue
Acromyrmex echinatior	Panamanian leafcutter ant
Acronicta dactylina	Alder dagger moth
Acronicta hasta	Cherry dagger moth
Acronicta impressa	Willow dagger moth
Acronicta lepusculina	Cottonwood dagger moth
Acronicta morula	Ochre dagger moth
Acropora	Staghorn corals
Acropora elseyi	Christmas coral
Acropora loripes	Bluetip coral
Acropora tenuis	Purple tipped acropora
Acrossocheilus paradoxus	Taiwan torrent carp
Acrostichum aureum	Coast leather fern
Acryllium vulturinum	Vulturine guineafowl
Actenoides hombroni	Blue-capped kingfisher
Actenoides lindsayi	Spotted kingfisher
Actias selene	Indian moon moth
Actias selene ningpoana	Indian moon moth
Actinia tenebrosa	Australian red waratah sea anemone
Actiniaria	Sea anemones
Actinobacteria	High G+C Gram-positive bacteria
Actinodura nipalensis	Hoary-throated barwing
Actinopterygii	Ray-finned fishes
Actitis hypoleucos	Common sandpiper
Actophilornis africanus	African jacana
Aculeola nigra	Hooktooth dogfish
Acyrthosiphon pisum	Pea aphid
Acyrtops beryllinus	Emerald clingfisn
Acyrtus artius	Papillate clingfish
Acyrtus lanthanum	Orange-spotted clingfish
Acyrtus rubiginosus	Red clingfish
Adalia bipunctata	Two-spotted ladybird beetle
Adamsia palliata	Cloak anemone
Adela purpurea	Willow fairy moth
Adelastes hylonomos	Neblina frog
Adelges abietis	Eastern spruce gall adelgid
Adelges cooleyi	Spruce gall adelgid
Adelges laricis	Larch wooly adelgid
Adelges tsugae	Hemlock woolly adelgid
Adelgidae	Pine & spruce aphids
Adelidae	Fairy moths
Adelophryne adiastola	Yapima shield frog
Adelophryne gutturosa	Guiana Shield frog
Adelosebastes latens	Aleutian scorpionfish
Adelpha basiloides	Spot-celled siser
Adelpha bredowii	California sister
Adelpha cocala	Orange-washed sister
Adelpha cytherea	Smooth-banded sister
Adelpha fessonia	Mexican sister
Adelpha leucophthalma	Circle-spot sister
Adelpha melanthe	Rayed sister
Adelpha salmoneus	Golden-banded sister
Adelpha tracta	Brownish sister
Adelphicos quadrivirgatum	Middle American burrowing snake
Adelphobates castaneoticus	Brazil-nut poison frog
Adelphobates galactonotus	Splash-backed poison frog
Adelphobates quinquevittatus	Rio Madeira poison frog
Adelura erythronota	Rufous-backed redstart
Adenanthera pavonina	Bead tree
Adenomera	Tropical bullfrogs
Adenomera andreae	Lowland tropical bullfrog
Adenomera hylaedactyla	Napo tropical bullfrog
Adenomera lutzi	Lutz's thin-toed frog
Adenomera martinezi	Martinez's tropical bullfrog
